如興,	4414
Year,最高價,日期,最低價,日期,收盤平均價
2004,12.30,11/23,11.00,11/04,11.64
2005,11.35,1/03,6.55,11/10,9.27
2006,7.80,5/10,6.10,10/27,6.82
2007,9.66,7/26,4.11,12/21,6.61
2008,6.05,4/21,0.80,11/21,3.69
2009,6.77,11/06,1.12,2/27,3.00
2010,9.00,12/09,4.52,7/02,5.56
2011,14.00,3/01,7.55,1/03,10.66
2012,10.80,2/15,5.87,6/04,8.36
2013,18.20,10/08,9.13,1/08,12.28
2014,23.40,6/10,12.60,10/24,17.39
2015,22.30,12/24,13.05,8/04,17.14
2016,28.25,3/10,16.20,1/30,20.29
2017,23.45,3/09,16.85,12/08,19.13
2018,19.40,1/22,11.80,9/28,15.01
2019,16.25,5/28,10.20,8/13,13.16
