名軒,	1442
Year,最高價,日期,最低價,日期,收盤平均價
2000,8.80,2/17,1.02,12/28,3.38
2001,2.59,2/22,0.68,11/29,1.25
2002,5.45,2/01,1.45,1/04,2.93
2003,8.80,8/12,1.75,5/14,4.37
2004,13.45,10/14,4.40,1/05,8.20
2005,13.30,1/03,7.40,10/25,10.68
2006,18.70,12/12,7.80,3/10,10.97
2007,31.90,3/15,14.00,1/11,24.04
2008,29.30,6/09,8.28,11/21,18.93
2009,20.60,6/02,9.00,2/02,14.08
2010,26.00,12/31,17.05,2/05,20.42
2011,32.50,7/25,20.75,12/19,25.36
2012,29.60,3/27,22.20,1/09,25.96
2013,39.40,8/13,24.75,1/07,32.89
2014,37.50,2/10,22.05,11/25,31.20
2015,26.85,5/07,15.40,8/26,21.40
2016,22.50,8/30,16.00,1/11,19.01
2017,22.70,6/06,17.45,2/03,19.69
2018,20.40,4/09,14.95,10/31,18.05
2019,20.30,12/30,15.15,1/22,16.36
