利奇,	1517
Year,最高價,日期,最低價,日期,收盤平均價
2000,35.00,2/18,2.79,11/22,14.54
2001,9.40,2/14,3.16,11/29,5.47
2002,7.80,4/09,3.46,10/08,5.18
2003,10.80,12/09,4.78,1/02,7.62
2004,14.50,4/26,9.40,1/16,11.73
2005,13.45,2/22,5.70,9/29,8.73
2006,15.90,12/28,4.96,8/29,6.51
2007,24.90,7/04,7.99,12/21,16.77
2008,17.60,6/10,6.43,9/18,11.28
2009,11.95,8/04,6.90,2/02,10.01
2010,18.85,8/04,9.52,2/06,13.58
2011,16.60,1/07,9.86,9/26,12.77
2012,16.15,3/28,10.30,10/30,12.62
2013,15.75,4/29,11.75,1/17,13.84
2014,19.30,3/11,12.85,10/27,15.78
2015,16.15,3/06,9.40,8/25,13.06
2016,11.75,3/08,10.00,11/15,10.81
2017,13.55,10/16,10.00,5/15,11.00
2018,12.45,1/08,8.83,10/29,10.36
2019,10.90,3/14,9.00,12/10,9.61
