立萬利,	3054
Year,最高價,日期,最低價,日期,收盤平均價
2002,108.00,11/22,83.00,11/18,98.03
2003,99.00,1/06,23.40,11/07,51.53
2004,29.90,1/14,7.25,10/22,15.10
2005,13.30,3/16,4.51,12/29,8.75
2006,31.80,10/03,5.20,1/02,18.69
2007,51.00,8/13,27.00,3/02,35.69
2008,35.80,4/07,8.39,9/05,18.76
2009,30.85,5/27,8.79,2/19,20.28
2010,31.00,1/04,14.40,10/18,19.36
2011,19.15,5/24,10.10,8/09,14.41
2012,15.00,2/29,7.18,11/22,10.94
2013,28.25,10/11,7.54,1/28,18.40
2014,26.80,2/11,10.95,10/27,18.46
2015,26.25,4/02,13.35,1/07,18.48
2016,25.00,11/16,16.80,4/22,20.29
2017,24.10,2/22,17.20,11/22,20.15
2018,28.60,9/28,18.05,2/09,20.95
2019,28.60,12/31,22.15,3/27,25.17
