台開,	2841
Year,最高價,日期,最低價,日期,收盤平均價
2000,25.60,2/21,2.15,11/22,8.56
2001,6.40,3/26,2.85,1/02,4.32
2002,8.25,4/25,1.36,10/17,3.37
2003,2.99,2/06,1.42,5/13,2.03
2004,4.26,2/12,1.39,8/19,2.77
2005,8.26,12/30,2.45,3/02,3.90
2006,23.85,12/08,7.20,3/10,12.14
2007,23.00,7/18,11.40,12/20,15.86
2008,23.30,4/21,6.55,10/28,13.67
2009,18.35,6/02,8.10,1/12,13.24
2010,16.30,12/31,11.30,2/06,13.65
2011,17.75,1/04,10.55,11/21,14.07
2012,13.40,2/15,10.85,11/22,11.87
2013,12.15,4/24,10.55,7/09,11.18
2014,12.35,7/29,10.55,11/05,11.25
2015,17.95,3/12,9.22,8/25,12.22
2016,12.75,2/22,9.65,10/17,10.63
2017,11.95,2/09,9.89,12/11,10.64
2018,10.55,1/02,7.81,11/23,9.03
