大成鋼,	2027
Year,最高價,日期,最低價,日期,收盤平均價
2000,19.60,2/17,7.65,11/02,12.30
2001,9.10,10/23,7.85,3/09,8.28
2002,15.60,4/23,6.20,10/08,8.64
2003,12.15,1/27,6.30,5/02,8.08
2004,34.30,3/15,8.70,1/14,23.08
2005,24.20,2/22,15.10,12/05,18.49
2006,40.95,10/17,16.00,1/02,26.02
2007,55.50,4/11,33.45,12/21,45.93
2008,45.80,3/04,10.50,12/05,28.80
2009,29.00,8/04,11.35,3/03,21.13
2010,26.90,1/12,19.00,11/30,21.61
2011,23.05,2/09,13.70,11/11,18.24
2012,18.00,2/20,13.80,11/22,15.33
2013,16.10,1/03,13.10,11/25,14.40
2014,22.80,9/09,13.80,2/24,17.65
2015,22.10,3/25,12.50,8/25,17.26
2016,19.20,11/23,13.85,1/08,16.19
2017,22.30,12/28,16.20,5/09,18.19
2018,55.20,9/25,20.90,2/06,37.26
2019,48.20,1/15,28.00,12/03,40.63
