華冠,	8101
Year,最高價,日期,最低價,日期,收盤平均價
2004,41.90,7/01,14.80,11/09,20.51
2005,36.80,12/29,13.90,9/02,22.59
2006,59.30,4/21,23.80,9/15,34.29
2007,44.20,6/28,16.95,12/21,30.55
2008,26.30,4/30,3.73,11/26,14.56
2009,15.05,12/31,4.43,1/20,10.41
2010,19.90,12/31,9.31,5/26,12.57
2011,23.90,7/07,13.20,4/19,18.27
2012,30.00,2/22,10.70,11/01,17.68
2013,16.95,10/21,10.95,6/21,13.88
2014,18.95,5/06,11.20,12/19,14.82
2015,13.35,1/27,7.66,12/25,10.24
2016,8.30,3/14,4.12,11/25,6.12
2017,6.00,2/07,3.61,11/21,4.56
2018,5.10,9/03,2.08,8/16,3.13
2019,7.50,12/27,2.50,8/13,3.11
