欣技,	6160
Year,最高價,日期,最低價,日期,收盤平均價
2002,47.20,03/13,21.10,08/06,30.51
2003,70.50,07/16,33.70,01/14,48.98
2004,73.00,12/17,46.00,08/04,61.19
2005,91.50,06/27,64.70,07/08,72.73
2006,79.80,05/22,46.40,10/31,62.13
2007,128.00,07/30,60.00,01/11,88.50
2008,86.20,01/03,32.00,12/05,56.94
2009,53.40,06/02,29.00,01/13,42.81
2010,49.50,01/15,36.10,11/25,42.47
2011,44.00,06/01,26.85,12/02,36.60
2012,36.00,03/01,20.00,11/09,29.27
2013,24.70,05/29,18.60,07/12,21.69
2014,40.30,06/18,20.95,01/02,31.50
2015,29.20,01/19,11.00,08/25,19.21
2016,36.80,07/22,14.70,02/15,28.87
2017,28.70,01/04,15.30,08/16,21.85
