昇益,	5455
Year,最高價,日期,最低價,日期,收盤平均價
2000,46.50,10/19,22.00,12/30,31.55
2001,39.40,02/22,7.60,11/02,19.91
2002,24.60,04/22,6.25,12/31,13.10
2003,9.20,12/16,3.49,04/30,5.59
2004,15.60,03/15,2.62,11/30,7.27
2005,5.79,03/10,1.22,12/02,3.49
2006,15.45,12/07,1.02,07/24,3.34
2007,35.70,08/03,11.85,01/09,22.86
2008,27.40,04/21,6.00,11/24,14.30
2009,21.20,10/16,6.08,01/21,12.12
2010,22.60,10/07,9.35,02/09,16.09
2011,16.70,01/03,3.47,11/24,11.10
2012,7.04,02/21,1.67,08/01,5.06
2013,2.80,04/26,1.63,04/12,2.10
2014,4.05,03/18,1.81,12/11,2.74
2015,17.30,05/28,4.93,12/25,11.67
2016,12.40,07/20,4.40,05/03,6.53
2017,12.00,07/25,4.85,01/24,8.63
