臺企銀,	2834
Year,最高價,日期,最低價,日期,收盤平均價
2000,25.20,2/10,10.00,11/21,16.89
2001,14.90,1/29,5.30,11/13,8.47
2002,10.80,4/25,4.70,9/30,6.55
2003,9.85,2/06,6.00,5/22,7.70
2004,16.10,3/05,8.30,8/18,11.37
2005,13.30,7/29,7.52,10/28,10.27
2006,11.20,10/13,5.84,9/15,8.02
2007,11.75,7/18,8.91,9/11,9.95
2008,14.55,5/29,5.15,10/28,9.99
2009,10.00,6/02,5.62,3/03,7.76
2010,13.30,12/31,7.60,1/26,9.17
2011,14.00,1/03,8.38,9/23,10.76
2012,10.20,2/04,7.85,6/04,8.79
2013,9.73,3/15,8.43,8/28,9.00
2014,9.80,7/29,8.76,10/17,9.12
2015,10.35,4/27,7.55,8/25,9.03
2016,8.66,4/19,7.51,1/22,8.19
2017,8.63,3/20,8.10,1/03,8.34
