鼎創達,	5304
Year,最高價,日期,最低價,日期,收盤平均價
2000,149.50,04/11,18.10,12/27,62.96
2001,33.70,04/20,8.25,09/21,20.30
2002,42.80,04/15,17.00,10/09,25.64
2003,35.70,10/24,13.40,05/21,21.70
2004,54.00,03/19,8.55,12/27,25.93
2005,12.10,03/10,0.91,11/17,6.84
2006,1.87,01/05,0.67,09/04,1.32
2007,12.10,04/16,1.39,02/05,5.54
2008,7.27,05/26,1.38,11/26,3.92
2009,3.30,08/14,0.93,02/23,2.34
2010,12.55,11/24,2.42,02/23,8.55
2011,18.45,01/19,5.43,12/14,12.59
2012,9.77,02/09,3.13,11/02,6.64
2013,4.50,01/03,2.45,05/30,3.40
2014,5.58,05/07,2.85,01/02,4.02
2015,5.83,03/06,2.74,11/30,4.48
2016,3.35,02/18,1.80,11/15,2.48
2017,3.36,04/18,1.91,09/01,2.30
