振曜,	6143
Year,最高價,日期,最低價,日期,收盤平均價
2002,46.30,03/11,11.40,12/31,25.16
2003,14.40,06/26,9.00,05/06,11.77
2004,13.35,02/25,8.40,07/20,10.82
2005,19.75,12/30,9.60,10/24,11.08
2006,37.80,12/29,21.10,01/02,27.34
2007,135.00,08/03,36.00,02/01,71.92
2008,57.60,04/25,12.80,12/03,32.85
2009,141.00,12/25,15.00,01/19,72.49
2010,131.00,01/04,66.40,08/31,88.05
2011,74.90,01/03,24.05,11/25,47.31
2012,54.60,10/23,22.60,06/04,39.35
2013,86.40,07/11,37.80,01/14,66.19
2014,87.80,04/21,30.55,10/27,63.41
2015,74.50,10/30,40.10,08/05,57.58
2016,81.40,07/20,46.00,01/14,67.37
2017,74.90,04/12,47.70,11/14,65.43
