訊連,	5203
Year,最高價,日期,最低價,日期,收盤平均價
2004,94.00,10/07,71.00,11/29,81.38
2005,122.50,8/02,69.80,10/28,89.04
2006,157.00,12/25,80.50,1/23,110.29
2007,187.50,8/29,106.50,12/18,140.43
2008,162.50,5/07,93.00,11/21,133.54
2009,170.00,5/26,109.50,2/02,130.76
2010,168.50,1/19,107.50,11/16,132.35
2011,112.00,1/05,56.80,10/03,80.72
2012,112.00,10/16,62.00,1/02,91.96
2013,105.00,5/20,80.80,8/28,91.12
2014,102.00,6/06,83.00,10/16,91.56
2015,94.80,4/15,50.80,8/25,79.15
2016,78.00,3/17,60.70,10/21,69.21
2017,75.60,1/03,59.50,4/07,65.54
2018,85.00,5/21,60.80,3/20,67.70
