大量,	3167
Year,最高價,日期,最低價,日期,收盤平均價
2013,42.30,12/27,30.50,11/06,35.40
2014,51.00,3/14,33.00,10/27,39.99
2015,39.90,4/16,23.75,8/25,32.74
2016,34.40,7/21,21.60,5/13,26.13
2017,55.90,11/24,25.70,1/06,38.89
