神腦,	2450
Year,最高價,日期,最低價,日期,收盤平均價
2001,43.20,12/18,22.50,10/08,30.29
2002,49.80,1/23,27.90,8/06,35.77
2003,32.00,7/22,19.60,10/31,26.13
2004,27.20,3/19,11.50,12/27,17.47
2005,22.60,7/19,11.35,4/18,15.51
2006,28.45,12/27,13.90,6/09,18.19
2007,63.50,8/03,28.00,1/05,45.68
2008,53.80,4/02,28.40,10/27,40.84
2009,59.00,6/02,30.50,1/21,41.73
2010,62.50,12/16,44.10,2/06,50.39
2011,190.00,7/29,57.50,1/06,104.43
2012,148.00,3/28,88.80,1/02,109.71
2013,108.00,6/14,88.50,11/21,96.09
2014,94.40,1/08,49.20,8/19,69.08
2015,52.40,2/04,37.55,8/25,45.81
2016,59.40,7/21,37.20,1/07,47.18
2017,59.30,7/21,50.00,12/29,53.18
2018,54.20,4/19,33.90,10/31,45.62
