國票金,	2889
Year,最高價,日期,最低價,日期,收盤平均價
2002,9.45,4/23,5.00,10/01,6.77
2003,10.10,10/28,6.20,4/01,8.28
2004,14.25,4/21,9.65,1/02,12.03
2005,14.65,4/08,10.50,9/29,12.50
2006,11.50,5/05,9.00,9/15,10.23
2007,12.45,7/18,9.58,3/14,10.41
2008,13.65,4/22,4.62,10/27,8.97
2009,11.25,9/10,4.90,1/09,8.81
2010,13.25,12/31,9.10,5/26,10.06
2011,17.60,1/26,9.09,12/19,12.97
2012,10.75,3/20,8.51,11/21,9.61
2013,10.75,4/15,9.35,8/28,10.03
2014,10.15,1/23,8.15,12/01,9.21
2015,9.45,4/29,6.55,8/24,8.29
2016,8.41,12/14,6.96,1/18,7.88
2017,9.64,8/07,8.23,1/03,9.11
