華經,	2468
Year,最高價,日期,最低價,日期,收盤平均價
2001,22.20,12/31,7.50,9/24,12.79
2002,24.90,1/31,11.55,10/08,16.30
2003,15.30,7/29,10.20,5/21,11.80
2004,13.90,2/25,6.80,12/01,10.08
2005,12.30,7/07,6.85,1/11,8.22
2006,13.60,12/12,7.65,3/27,9.38
2007,19.20,7/24,12.35,1/31,15.00
2008,16.15,4/23,5.65,12/03,11.16
2009,16.85,12/09,6.31,1/19,10.87
2010,24.30,4/29,11.75,2/06,16.79
2011,16.70,9/08,9.10,12/20,13.18
2012,13.30,3/28,8.70,11/06,10.61
2013,11.80,10/11,9.51,2/05,10.26
2014,18.00,4/02,10.90,1/03,13.71
2015,13.90,1/27,8.99,8/25,11.41
2016,11.95,9/22,9.92,2/15,10.64
2017,11.80,9/21,10.50,7/25,11.17
2018,14.80,1/23,10.45,10/09,11.97
