第一金,	2892
Year,最高價,日期,最低價,日期,收盤平均價
2003,29.00,1/24,18.10,8/11,21.86
2004,29.90,3/02,20.50,8/09,25.48
2005,27.60,7/26,21.90,10/24,24.92
2006,26.35,5/05,20.90,9/15,23.49
2007,27.00,11/01,20.25,8/17,23.55
2008,38.80,5/19,12.35,10/28,25.75
2009,22.40,6/01,12.20,2/24,18.29
2010,27.35,12/31,15.80,5/25,19.06
2011,27.55,1/19,16.10,12/20,22.70
2012,19.70,2/10,16.20,11/16,17.62
2013,19.40,2/20,16.80,8/12,17.98
2014,20.90,7/29,17.70,5/02,18.48
2015,19.85,5/04,14.85,12/14,17.37
2016,17.80,8/02,14.15,1/21,16.31
2017,20.75,8/03,17.10,1/04,19.13
2018,21.40,8/09,19.20,10/25,20.28
2019,24.10,12/20,19.70,1/04,21.94
