豐藝,	6189
Year,最高價,日期,最低價,日期,收盤平均價
2004,58.00,5/26,32.50,12/06,42.53
2005,47.50,7/25,32.00,10/27,37.43
2006,43.40,1/11,25.50,9/15,33.68
2007,48.50,7/12,28.60,12/18,37.29
2008,33.50,4/23,8.50,11/21,22.34
2009,25.25,12/30,9.50,1/21,17.20
2010,27.95,4/27,21.50,2/06,24.47
2011,23.90,2/08,16.00,8/09,20.33
2012,25.40,3/27,18.00,1/09,23.19
2013,33.10,12/27,24.00,1/07,28.29
2014,41.00,6/17,32.00,2/10,35.86
2015,39.60,3/25,23.45,8/24,33.04
2016,36.05,7/18,29.05,1/07,32.53
2017,33.50,3/21,27.55,11/14,29.83
2018,30.00,1/23,26.85,7/19,28.39
2019,36.40,7/15,28.25,1/14,32.78
