三顧,	3224
Year,最高價,日期,最低價,日期,收盤平均價
2004,47.70,06/04,15.40,12/23,25.94
2005,18.60,01/20,11.20,08/30,14.73
2006,25.85,12/13,14.00,01/23,18.80
2007,27.40,07/24,12.60,12/21,20.65
2008,14.30,04/17,3.00,12/30,8.36
2009,9.00,12/31,2.66,02/10,5.37
2010,14.20,09/08,6.09,02/09,10.67
2011,11.60,01/07,5.64,10/21,9.18
2012,8.23,02/20,3.95,11/08,6.22
2013,21.10,10/11,4.18,04/16,13.99
2014,50.00,03/04,21.25,10/28,35.56
2015,42.15,12/02,22.60,08/25,33.45
2016,36.00,04/19,23.40,05/17,30.16
2017,56.80,02/20,34.00,01/03,43.89
