凌網,	5212
Year,最高價,日期,最低價,日期,收盤平均價
2003,32.70,07/28,24.00,09/10,28.04
2004,37.30,04/12,13.50,11/02,23.08
2005,30.60,08/25,14.50,02/03,21.04
2006,34.00,12/29,20.00,09/15,22.41
2007,40.85,03/23,19.55,12/20,32.33
2008,25.15,04/23,10.85,11/24,18.49
2009,23.40,10/26,11.40,02/03,17.82
2010,30.30,04/27,18.20,02/01,25.20
2011,23.30,04/01,14.75,10/04,19.59
2012,19.60,03/30,12.25,11/13,15.59
2013,17.00,08/12,11.40,02/23,13.90
2014,27.00,12/16,13.10,01/03,19.64
2015,28.70,04/17,17.00,08/25,23.58
2016,23.30,03/28,16.10,10/14,18.95
2017,28.40,12/22,16.90,02/13,23.28
