新興,	2605
Year,最高價,日期,最低價,日期,收盤平均價
2000,15.30,2/21,5.35,9/20,9.53
2001,9.60,4/19,5.20,9/24,6.89
2002,14.65,12/24,6.80,8/06,8.72
2003,27.50,12/23,10.10,3/12,16.40
2004,44.60,10/12,19.10,5/18,31.30
2005,43.20,3/07,24.20,10/27,34.75
2006,43.95,8/17,28.30,1/23,35.94
2007,79.90,10/02,42.80,1/02,56.65
2008,69.00,5/16,16.50,10/28,47.04
2009,45.10,6/02,21.45,1/21,35.09
2010,45.40,1/06,34.80,12/01,38.31
2011,37.20,1/24,24.40,9/29,30.69
2012,30.70,2/13,23.90,11/02,26.99
2013,29.80,9/25,24.95,8/14,27.10
2014,28.80,3/03,24.00,10/17,26.76
2015,26.60,1/08,17.00,8/25,22.27
2016,23.00,3/08,17.30,11/07,19.42
2017,27.20,2/24,19.45,1/03,21.92
2018,21.90,1/02,14.70,10/26,17.09
2019,18.20,7/24,15.05,5/20,16.22
