第一銅,	2009
Year,最高價,日期,最低價,日期,收盤平均價
2000,15.00,2/21,2.71,11/23,8.20
2001,6.65,2/06,2.13,9/24,3.76
2002,8.00,4/29,2.88,1/30,5.05
2003,11.60,1/24,5.15,5/02,7.71
2004,16.90,10/11,8.50,5/18,12.57
2005,14.60,2/22,8.00,5/17,10.78
2006,16.65,12/29,9.22,1/04,12.09
2007,18.85,1/05,10.30,12/18,14.78
2008,15.50,4/17,4.63,10/28,9.91
2009,13.45,12/31,5.00,3/03,8.60
2010,17.00,4/14,12.15,6/07,14.05
2011,15.70,1/04,7.45,12/20,11.99
2012,11.20,12/27,6.90,7/25,8.64
2013,12.00,1/03,8.70,4/08,9.50
2014,11.70,1/10,9.85,12/17,10.47
2015,10.25,5/07,5.49,8/25,8.39
2016,8.89,3/08,6.16,1/26,6.93
2017,13.85,12/29,7.30,1/04,9.94
2018,14.95,1/11,8.50,10/25,10.79
2019,11.55,2/26,9.02,12/03,9.90
