國統,	8936
Year,最高價,日期,最低價,日期,收盤平均價
2002,38.20,12/12,25.70,10/07,30.41
2003,40.60,03/14,30.60,10/30,34.71
2004,45.40,03/01,11.90,12/20,25.53
2005,17.40,04/06,6.34,11/04,12.03
2006,9.50,02/16,5.06,09/14,7.53
2007,47.00,10/12,9.46,01/02,28.64
2008,40.10,01/08,7.88,09/18,21.80
2009,39.80,12/30,10.20,01/15,21.03
2010,40.70,04/22,23.60,11/17,33.94
2011,50.70,04/08,27.00,11/24,40.94
2012,38.75,03/20,15.40,10/29,29.01
2013,48.20,12/26,18.35,01/02,33.40
2014,61.70,03/31,38.25,10/27,50.65
2015,61.70,03/20,24.90,08/25,44.92
2016,35.65,01/04,15.55,11/03,24.53
2017,25.80,02/22,15.70,11/20,21.19
