仁寶,	2324
Year,最高價,日期,最低價,日期,收盤平均價
2000,134.50,4/05,38.50,10/13,76.73
2001,63.00,4/12,21.80,10/05,42.05
2002,54.50,1/09,26.20,7/03,39.13
2003,61.00,7/28,33.00,2/27,44.90
2004,48.70,1/06,27.90,8/04,36.81
2005,36.05,8/12,27.50,4/21,30.51
2006,38.15,4/21,27.35,8/23,30.55
2007,43.20,10/31,27.60,3/05,33.36
2008,37.80,5/15,14.65,11/21,27.55
2009,44.95,12/15,15.70,1/10,30.94
2010,49.30,1/14,35.30,9/02,40.31
2011,38.95,1/04,25.50,11/24,31.74
2012,35.80,2/09,17.30,11/22,27.77
2013,23.90,10/02,16.05,6/21,20.34
2014,30.00,7/21,19.40,12/01,23.03
2015,29.30,4/22,15.10,8/24,22.23
2016,21.65,7/21,16.55,1/08,19.24
2017,22.90,9/18,18.45,2/03,20.50
