大東,	1441
Year,最高價,日期,最低價,日期,收盤平均價
2000,10.25,2/21,2.92,12/12,5.89
2001,5.10,2/15,1.93,11/29,3.38
2002,5.35,3/27,1.51,10/14,2.84
2003,3.89,1/17,1.70,5/06,2.58
2004,8.20,3/26,2.98,11/30,4.33
2005,4.12,1/04,1.94,10/21,2.70
2006,8.35,12/05,1.76,3/29,3.15
2007,11.35,7/19,4.03,12/21,6.84
2008,7.89,4/17,2.52,11/19,4.84
2009,10.05,12/21,2.55,3/10,6.14
2010,10.40,10/20,5.91,5/26,7.97
2011,24.85,5/18,8.41,3/15,13.77
2012,13.80,3/08,7.70,7/25,10.11
2013,11.30,6/04,8.50,4/16,9.55
2014,10.65,4/02,8.99,9/26,9.56
2015,10.65,5/04,6.50,12/10,8.42
2016,8.28,7/04,6.05,11/29,7.12
2017,9.99,4/26,6.15,1/03,7.44
2018,17.30,8/07,6.88,2/09,12.92
2019,17.60,5/08,7.58,12/18,12.30
