新纖,	1409
Year,最高價,日期,最低價,日期,收盤平均價
2000,14.70,2/21,2.21,11/21,7.05
2001,4.85,2/06,1.96,10/08,2.81
2002,7.90,4/25,2.43,1/02,5.14
2003,10.35,2/06,3.86,5/02,6.59
2004,13.15,11/15,5.65,5/18,8.29
2005,9.95,1/04,5.16,10/21,7.19
2006,9.40,12/11,5.12,3/23,6.66
2007,16.75,7/19,7.48,1/11,11.03
2008,13.65,4/16,3.45,11/21,8.31
2009,11.25,12/31,3.60,3/03,7.46
2010,17.60,11/09,9.33,2/06,12.65
2011,16.95,1/04,7.36,12/19,11.71
2012,11.30,3/09,8.00,1/02,9.39
2013,10.85,10/07,8.70,4/16,9.76
2014,12.30,10/06,9.52,4/28,10.51
2015,11.55,1/14,7.02,8/25,9.83
2016,9.64,3/08,8.07,6/28,8.70
2017,11.10,2/03,8.76,6/14,9.49
2018,14.40,8/24,8.83,2/09,11.24
