白紗科,	8401
Year,最高價,日期,最低價,日期,收盤平均價
2010,58.10,04/30,30.20,03/29,44.91
2011,38.00,04/21,13.60,12/19,29.50
2012,21.60,03/22,13.80,01/10,18.02
2013,17.55,02/26,11.80,08/28,15.47
2014,20.85,09/09,13.15,01/06,17.75
2015,18.55,04/21,11.05,08/26,15.91
2016,12.60,03/14,9.93,12/28,11.30
2017,19.20,11/02,9.91,01/10,14.55
