東華,	1418
Year,最高價,日期,最低價,日期,收盤平均價
2000,15.90,2/21,5.65,11/21,8.67
2001,9.10,1/30,2.66,11/07,4.85
2002,6.05,3/27,2.60,10/15,4.09
2003,6.70,2/07,2.40,5/02,3.93
2004,7.85,2/11,3.97,8/18,5.16
2005,5.60,1/04,2.28,11/14,3.27
2006,7.71,12/27,2.40,2/27,3.59
2007,8.89,7/19,3.17,12/26,5.38
2008,4.64,4/17,1.21,9/18,2.67
2009,14.60,12/15,1.57,3/04,5.96
2010,15.35,1/20,9.17,9/01,11.44
2011,12.75,3/24,6.01,11/24,9.52
2012,9.28,3/08,5.21,11/22,6.87
2013,6.89,6/07,5.10,4/16,5.83
2014,8.69,7/17,5.96,2/06,6.81
2015,7.68,5/04,2.66,8/27,6.11
2016,6.21,12/12,4.03,8/18,5.00
2017,11.10,11/28,3.77,11/09,6.03
2018,12.40,6/19,6.15,12/17,8.82
2019,11.00,2/21,5.13,12/02,7.60
