建暐,	8092
Year,最高價,日期,最低價,日期,收盤平均價
2004,42.20,04/14,24.50,12/27,31.99
2005,28.85,03/14,19.00,11/30,23.69
2006,25.15,02/17,13.60,09/15,17.49
2007,21.25,01/22,12.20,12/21,16.71
2008,13.25,03/24,6.40,11/19,10.15
2009,16.90,12/31,5.50,01/21,10.91
2010,17.85,01/04,10.95,11/04,14.42
2011,14.50,09/26,7.61,12/15,11.91
2012,11.40,03/19,7.61,01/13,9.89
2013,18.95,12/31,9.19,03/19,12.94
2014,27.45,02/19,11.30,08/22,21.72
2015,19.10,04/21,7.15,12/14,14.25
2016,9.69,07/11,6.72,01/18,8.22
2017,9.47,03/29,7.07,01/10,8.29
