得力,	1464
Year,最高價,日期,最低價,日期,收盤平均價
2000,13.35,2/21,2.53,11/20,6.40
2001,6.45,12/19,2.53,7/16,3.53
2002,13.30,6/13,6.40,1/02,9.34
2003,12.45,1/27,7.50,4/01,9.11
2004,14.00,3/05,5.30,8/18,8.21
2005,8.25,1/03,3.67,9/22,5.15
2006,6.95,12/27,4.70,6/23,5.38
2007,9.17,7/18,6.00,3/05,7.37
2008,8.53,4/25,3.73,11/07,6.25
2009,7.30,12/22,4.09,3/10,5.44
2010,19.40,5/18,6.09,2/08,11.80
2011,15.00,1/06,7.44,8/11,10.09
2012,11.20,10/05,7.56,6/04,8.96
2013,14.20,12/18,8.40,1/21,10.21
2014,14.05,3/27,10.70,10/30,12.29
2015,36.90,10/02,13.00,1/05,25.28
2016,41.40,2/17,22.95,11/09,30.33
2017,32.00,7/04,24.30,2/02,27.02
2018,26.25,3/19,18.65,10/25,23.24
2019,29.25,11/13,19.60,1/04,23.96
