毛寶,	1732
Year,最高價,日期,最低價,日期,收盤平均價
2001,12.15,12/12,8.20,11/12,9.37
2002,13.70,4/09,6.25,10/14,9.70
2003,15.30,5/09,7.50,3/20,10.65
2004,15.40,2/04,7.20,8/18,9.53
2005,21.40,11/18,7.63,5/04,9.99
2006,17.70,3/10,11.10,7/25,14.07
2007,17.85,7/26,10.60,12/19,13.65
2008,16.60,5/20,7.35,10/28,11.11
2009,23.90,9/02,8.11,1/20,14.55
2010,19.15,9/09,12.15,2/06,15.78
2011,18.80,2/21,12.10,12/19,16.77
2012,17.60,3/07,13.05,6/04,14.19
2013,17.90,4/09,11.15,7/19,13.12
2014,19.00,10/21,11.35,4/28,12.77
2015,20.90,6/04,10.15,8/25,13.63
2016,15.60,2/15,12.15,1/07,13.29
2017,15.80,2/14,12.30,11/17,12.77
