宏捷科,	8086
Year,最高價,日期,最低價,日期,收盤平均價
2009,48.15,12/31,13.90,06/16,32.18
2010,60.00,03/23,36.60,02/01,48.32
2011,53.90,05/09,16.20,12/09,37.92
2012,36.50,03/16,17.30,11/19,28.94
2013,22.80,01/03,11.70,10/15,16.57
2014,42.40,12/31,13.50,01/02,26.08
2015,129.50,06/26,39.85,01/07,80.45
2016,89.60,01/05,41.00,11/09,62.20
2017,82.80,11/30,49.30,01/11,65.47
