慶騰,	4534
Year,最高價,日期,最低價,日期,收盤平均價
2003,46.30,10/29,23.40,04/07,31.49
2004,35.10,06/01,16.50,12/16,27.05
2005,22.00,03/31,11.00,12/29,15.83
2006,12.80,01/10,7.73,09/27,9.93
2007,16.55,08/03,6.33,03/08,9.76
2008,9.30,03/12,3.22,12/03,6.49
2009,14.10,11/19,3.29,03/13,8.26
2010,20.40,08/24,10.10,02/09,15.72
2011,18.05,01/07,8.60,12/30,15.20
2012,11.35,02/09,6.97,10/08,8.80
2013,18.90,12/31,7.68,01/18,15.29
2014,24.25,04/09,12.90,11/18,19.97
2015,18.45,04/16,9.87,12/10,14.98
2016,45.00,07/27,9.85,01/27,30.81
2017,31.35,04/11,17.40,12/08,25.68
