宏齊,	6168
Year,最高價,日期,最低價,日期,收盤平均價
2003,61.50,11/18,48.40,8/25,53.57
2004,70.50,2/05,20.20,11/02,41.91
2005,39.70,12/26,20.40,8/31,29.89
2006,50.50,4/21,27.55,7/19,34.95
2007,53.10,7/27,28.60,12/18,41.19
2008,50.50,5/09,11.20,11/21,27.70
2009,33.70,12/31,15.00,1/21,25.47
2010,45.85,7/16,28.60,2/06,36.18
2011,40.00,3/08,13.25,11/24,25.52
2012,23.05,3/19,10.90,11/22,16.05
2013,16.75,12/31,10.00,8/22,12.32
2014,26.40,7/24,14.50,10/16,19.54
2015,21.50,3/17,8.86,8/25,14.79
2016,13.80,1/05,8.70,11/09,10.37
2017,23.65,11/23,9.56,5/10,13.28
2018,24.00,6/25,10.40,10/12,17.12
2019,17.75,4/16,12.00,1/04,14.01
