憶聲,	3024
Year,最高價,日期,最低價,日期,收盤平均價
2002,52.50,10/28,37.20,10/14,45.08
2003,48.20,1/03,22.60,5/02,34.78
2004,41.40,3/05,20.00,11/02,28.39
2005,32.90,3/15,20.60,1/14,25.38
2006,30.55,1/04,15.00,9/14,20.52
2007,22.00,1/11,10.00,12/18,17.04
2008,14.70,1/21,4.03,11/21,9.91
2009,15.45,12/17,4.85,2/23,8.69
2010,15.35,1/04,10.05,5/27,11.66
2011,12.60,7/20,5.36,11/25,9.82
2012,10.70,3/02,6.51,11/01,7.94
2013,8.00,5/31,5.71,8/16,6.51
2014,7.50,3/13,5.13,12/01,6.30
2015,7.44,1/07,3.28,8/25,5.13
2016,8.58,11/10,2.96,5/17,4.60
2017,11.45,4/28,5.25,12/08,8.01
2018,8.88,9/03,5.66,10/31,6.77
