光罩,	2338
Year,最高價,日期,最低價,日期,收盤平均價
2000,61.00,6/22,10.35,12/30,30.83
2001,32.10,4/09,10.45,1/02,20.81
2002,35.50,4/03,16.30,10/08,23.78
2003,21.50,7/09,14.70,4/28,17.78
2004,20.90,3/05,13.60,7/22,16.75
2005,17.10,2/21,12.80,10/27,14.66
2006,25.25,5/22,14.75,1/02,17.81
2007,22.50,7/04,15.50,12/18,19.33
2008,18.60,4/24,6.27,11/21,14.33
2009,14.30,12/31,7.57,1/15,11.02
2010,14.35,3/29,10.30,5/25,12.26
2011,13.55,1/18,9.17,8/09,11.39
2012,11.65,3/30,9.25,11/01,10.64
2013,11.15,1/04,9.12,11/21,9.91
2014,11.70,4/18,9.15,11/18,10.11
2015,10.30,1/16,5.93,8/25,8.82
2016,10.10,2/23,7.82,11/09,8.70
2017,20.55,10/23,8.63,1/05,16.02
2018,37.65,6/22,15.60,2/09,23.71
