友銓,	5321
Year,最高價,日期,最低價,日期,收盤平均價
2000,44.50,02/19,4.16,12/30,20.73
2001,8.80,03/30,2.92,10/15,5.61
2002,13.00,04/17,5.15,10/11,7.57
2003,9.70,06/20,6.35,05/21,8.28
2004,9.65,04/14,3.95,08/31,6.48
2005,4.78,01/03,2.61,11/14,3.59
2006,6.40,03/02,2.43,07/10,4.44
2007,18.65,11/16,2.10,03/22,5.04
2008,10.75,01/02,1.82,12/26,5.76
2009,8.00,11/30,1.71,02/27,4.74
2010,11.90,04/22,5.20,11/08,8.59
2011,6.39,01/04,1.93,11/03,3.86
2012,4.23,11/26,1.30,06/01,2.83
2013,21.00,11/25,3.46,03/22,8.69
2014,23.40,12/12,14.60,01/06,19.33
2015,58.60,07/02,18.80,03/11,37.16
2016,43.05,09/09,20.35,01/06,33.46
2017,39.60,05/08,19.40,12/27,28.43
