佳能,	2374
Year,最高價,日期,最低價,日期,收盤平均價
2000,35.10,4/13,10.15,12/28,22.28
2001,32.50,4/27,10.80,1/02,21.93
2002,42.50,3/11,23.10,8/06,29.46
2003,38.40,7/25,22.80,3/11,31.27
2004,34.90,1/13,15.80,12/28,23.76
2005,33.25,12/29,13.65,4/25,20.01
2006,36.15,2/06,19.40,8/23,25.96
2007,71.00,10/03,24.35,1/11,49.10
2008,55.10,1/02,16.65,11/21,34.72
2009,65.20,9/17,20.90,1/13,44.31
2010,67.10,1/15,45.30,5/26,52.05
2011,51.30,1/04,23.85,11/24,36.57
2012,31.65,2/04,25.10,10/25,27.80
2013,28.60,1/22,18.05,12/20,24.52
2014,22.80,5/08,14.45,10/27,19.09
2015,26.50,11/17,13.05,8/24,17.87
2016,23.35,1/04,14.00,11/14,17.68
2017,27.40,8/29,16.25,1/12,19.81
