巨路,	6192
Year,最高價,日期,最低價,日期,收盤平均價
2004,34.20,9/27,26.40,12/01,29.94
2005,38.95,8/08,26.80,2/03,31.93
2006,45.50,11/30,28.65,7/18,33.71
2007,94.50,7/24,42.60,1/05,71.21
2008,71.70,1/02,29.45,10/28,52.85
2009,68.80,9/28,34.75,1/21,51.68
2010,64.60,4/27,48.00,8/31,54.89
2011,88.70,7/26,52.10,3/15,66.25
2012,70.40,5/04,52.50,1/16,61.79
2013,77.30,10/25,61.40,6/14,69.12
2014,81.70,3/06,61.50,12/01,71.02
2015,65.20,1/05,38.60,8/24,52.07
2016,55.90,12/19,40.05,1/20,47.16
2017,64.90,5/19,48.50,8/16,55.21
2018,72.60,9/14,54.70,2/06,62.38
