順發,	6154
Year,最高價,日期,最低價,日期,收盤平均價
2002,121.00,03/12,36.60,12/31,70.24
2003,55.00,07/29,32.80,04/30,41.33
2004,52.00,03/09,25.00,12/23,37.97
2005,41.00,12/30,21.00,10/27,25.63
2006,88.80,12/29,26.15,06/09,38.12
2007,86.20,01/04,40.40,12/18,66.59
2008,50.70,04/23,16.15,11/20,35.21
2009,30.60,12/31,16.30,01/21,23.28
2010,34.95,01/05,22.80,05/25,27.76
2011,28.90,07/06,22.20,08/09,25.64
2012,27.90,03/22,22.10,11/22,25.54
2013,23.40,01/08,20.20,11/12,21.92
2014,24.00,07/08,20.50,10/16,22.14
2015,21.90,05/05,16.00,12/14,19.51
2016,18.05,09/06,15.70,01/21,16.77
2017,17.85,02/22,16.30,09/11,16.91
