太空梭,	2440
Year,最高價,日期,最低價,日期,收盤平均價
2000,29.80,11/10,13.50,12/30,19.07
2001,27.10,3/30,8.80,10/08,17.22
2002,27.70,4/03,9.05,10/14,16.38
2003,14.05,6/20,8.50,11/04,10.27
2004,14.80,2/24,3.63,12/29,6.67
2005,4.94,3/11,2.53,10/05,3.47
2006,7.45,12/14,2.62,9/18,3.70
2007,17.40,11/01,5.60,1/12,10.12
2008,12.00,6/03,4.33,10/28,7.83
2009,14.55,12/30,3.54,2/03,6.58
2010,14.10,1/04,8.00,11/03,10.92
2011,9.32,1/27,5.61,12/29,7.16
2012,7.41,12/22,4.12,8/13,5.64
2013,11.40,11/14,6.25,3/05,7.81
2014,13.40,4/22,8.61,10/15,10.79
2015,10.90,1/14,6.76,6/17,8.96
2016,9.98,9/09,7.05,1/08,8.45
2017,12.20,6/27,8.50,1/05,10.33
2018,17.05,3/07,6.80,10/19,10.39
