富邦金,	2881
Year,最高價,日期,最低價,日期,收盤平均價
2001,39.50,12/19,29.10,12/28,31.17
2002,37.80,4/18,26.50,12/06,31.98
2003,36.50,10/20,23.20,4/28,29.23
2004,38.70,3/03,26.20,7/27,31.97
2005,32.90,3/03,26.35,12/01,30.02
2006,33.00,5/09,24.25,8/23,27.98
2007,34.75,7/26,26.15,8/17,29.54
2008,37.90,3/24,15.95,10/28,28.48
2009,40.45,10/26,16.60,3/03,30.28
2010,41.65,8/10,31.20,2/06,37.80
2011,48.80,8/01,28.00,12/20,38.49
2012,36.15,2/10,27.60,6/04,31.61
2013,44.25,10/11,34.85,1/04,40.67
2014,51.90,11/10,38.85,5/06,45.35
2015,69.00,5/11,44.35,12/31,55.65
2016,53.70,12/16,34.70,1/22,41.94
2017,53.40,3/23,45.70,6/08,48.59
2018,55.00,1/16,46.10,12/25,50.79
2019,47.35,3/20,41.10,8/06,44.71
