元太,	8069
Year,最高價,日期,最低價,日期,收盤平均價
2004,41.30,04/14,24.20,06/21,30.02
2005,31.50,04/08,9.15,10/28,20.91
2006,19.00,05/15,11.40,07/17,14.15
2007,72.70,07/25,14.70,03/07,37.50
2008,49.00,04/14,11.10,10/29,29.34
2009,85.60,12/30,13.90,01/21,39.01
2010,84.30,01/04,39.15,06/30,55.82
2011,73.30,09/21,36.40,12/20,57.81
2012,46.20,02/09,18.75,11/22,33.85
2013,24.45,03/13,13.35,11/12,19.95
2014,22.00,04/23,12.95,12/01,18.43
2015,17.45,10/27,9.50,08/25,14.57
2016,28.70,10/26,13.15,01/14,20.81
2017,57.70,11/23,22.55,01/12,36.70
