威致,	2028
Year,最高價,日期,最低價,日期,收盤平均價
2000,11.05,2/22,1.15,12/29,4.54
2001,2.93,2/21,0.70,12/05,1.38
2002,7.50,4/09,1.01,1/03,3.38
2003,7.15,2/07,2.95,5/09,4.99
2004,13.00,3/05,6.15,5/18,9.00
2005,9.40,1/19,2.91,10/21,5.59
2006,8.27,12/28,3.60,1/05,4.93
2007,10.35,4/16,7.63,8/17,8.74
2008,24.30,5/05,3.99,10/30,10.92
2009,11.50,12/31,4.20,3/03,7.15
2010,12.55,1/12,6.81,5/26,8.93
2011,11.05,4/28,4.50,11/24,7.70
2012,7.12,2/21,4.10,11/06,5.12
2013,6.25,1/10,4.11,11/20,5.04
2014,6.24,8/27,3.94,12/23,4.56
2015,4.23,2/10,1.16,8/24,2.28
2016,4.08,12/30,1.56,7/12,2.04
2017,10.40,11/01,3.70,1/16,6.96
2018,12.60,4/09,7.10,12/11,9.74
2019,9.78,4/17,7.66,1/02,9.11
