方土昶,	6265
Year,最高價,日期,最低價,日期,收盤平均價
2003,28.50,12/05,20.20,10/27,24.19
2004,27.60,04/27,10.00,12/28,18.41
2005,17.10,04/04,9.00,01/19,13.85
2006,20.20,12/25,12.40,09/12,14.52
2007,28.70,11/09,17.20,01/15,22.88
2008,28.60,06/24,8.60,12/24,20.22
2009,25.75,04/10,8.86,01/10,16.69
2010,15.60,01/05,10.00,11/29,12.94
2011,10.95,01/04,5.53,12/20,8.71
2012,8.65,09/13,5.55,05/24,7.10
2013,10.40,09/26,6.91,02/06,9.01
2014,14.45,02/25,8.15,10/28,11.47
2015,10.55,05/04,5.22,08/25,8.75
2016,8.19,07/22,5.87,01/18,7.38
2017,7.85,03/23,6.55,05/18,7.11
