台蠟,	1742
Year,最高價,日期,最低價,日期,收盤平均價
2004,24.20,05/14,16.90,06/21,19.64
2005,24.40,03/28,15.60,11/08,21.10
2006,40.60,08/23,17.60,01/04,27.71
2007,57.40,06/26,35.10,03/05,43.26
2008,53.80,09/01,30.90,10/28,43.80
2009,51.90,09/28,23.20,02/23,39.67
2010,62.20,08/18,37.50,02/06,50.01
2011,55.00,03/31,14.10,12/22,37.56
2012,22.80,02/10,12.00,11/21,17.49
2013,22.55,04/18,13.70,02/19,18.50
2014,41.30,06/23,19.95,03/24,30.49
2015,29.00,03/04,9.41,08/26,19.21
2016,16.00,09/19,8.09,05/17,12.25
2017,13.60,02/03,10.00,12/21,11.47
