鼎天,	3306
Year,最高價,日期,最低價,日期,收盤平均價
2005,71.70,08/10,25.65,07/05,50.66
2006,65.90,12/11,29.00,06/21,48.06
2007,81.00,06/29,38.20,12/21,61.59
2008,49.10,01/03,13.10,12/26,31.20
2009,77.40,12/31,13.00,02/06,46.74
2010,76.10,01/14,32.70,09/01,51.21
2011,45.40,01/03,19.00,08/26,31.92
2012,35.20,03/02,18.60,10/29,27.15
2013,35.25,12/31,18.65,08/20,26.24
2014,56.00,04/08,30.30,11/20,46.08
2015,41.40,03/24,19.20,08/25,31.96
2016,34.70,08/08,20.65,01/18,29.21
2017,27.95,02/17,21.10,12/27,24.69
