創惟,	6104
Year,最高價,日期,最低價,日期,收盤平均價
2001,95.00,05/23,27.70,09/14,48.95
2002,158.00,06/07,67.50,01/11,109.29
2003,100.50,01/14,46.10,12/23,72.03
2004,51.00,02/19,13.50,11/02,27.40
2005,37.50,12/30,14.30,01/14,23.06
2006,81.40,11/24,33.75,01/23,58.01
2007,119.50,03/14,37.50,12/21,81.56
2008,46.90,05/19,10.25,11/20,28.42
2009,54.30,12/31,11.50,01/21,33.53
2010,67.50,09/23,30.20,05/26,51.31
2011,62.40,01/07,15.00,12/13,39.42
2012,30.80,02/16,18.00,11/21,24.20
2013,25.00,11/19,14.40,08/01,20.28
2014,67.50,08/15,22.15,02/05,51.16
2015,76.40,04/09,27.60,08/25,52.96
2016,49.25,01/04,29.85,05/13,40.77
2017,44.55,03/16,32.50,08/14,40.13
