益通,	3452
Year,最高價,日期,最低價,日期,收盤平均價
2006,1145.00,03/21,472.00,12/12,691.77
2007,699.00,02/07,235.50,12/21,470.91
2008,421.00,07/14,74.60,11/24,254.78
2009,121.50,04/17,62.10,11/02,86.82
2010,82.50,01/04,34.20,09/03,50.85
2011,53.00,01/20,9.11,11/24,30.82
2012,22.30,02/24,8.55,11/01,15.75
2013,20.15,11/05,9.61,04/16,14.64
2014,25.00,06/18,12.40,12/01,19.40
2015,18.75,04/01,7.16,08/25,14.65
2016,13.25,03/08,8.30,11/17,11.20
2017,11.10,10/17,7.77,08/15,9.52
