金利,	5383
Year,最高價,日期,最低價,日期,收盤平均價
2000,55.00,04/10,8.10,12/27,27.12
2001,19.70,04/25,5.90,09/21,11.38
2002,18.80,02/01,8.55,10/07,12.73
2003,32.70,07/28,10.10,01/02,15.57
2004,27.50,04/19,11.70,12/03,16.91
2005,16.55,09/15,10.00,05/20,12.58
2006,24.15,05/19,12.45,02/23,18.10
2007,32.00,08/01,14.80,12/20,21.06
2008,17.35,04/18,5.07,11/20,11.54
2009,19.00,12/18,4.80,02/02,15.50
2010,27.00,08/13,14.70,02/06,20.87
2011,20.95,02/17,8.64,12/21,16.81
2012,13.40,04/02,9.56,01/13,11.35
2013,15.70,03/15,10.55,11/22,12.30
2014,18.00,03/31,10.80,12/01,14.96
2015,13.80,01/08,7.43,08/24,10.91
2016,10.60,03/29,7.30,11/23,8.98
2017,11.65,12/01,7.10,07/06,9.64
