台半,	5425
Year,最高價,日期,最低價,日期,收盤平均價
2000,65.50,04/10,9.55,12/30,29.40
2001,21.90,03/29,7.20,10/08,13.12
2002,26.00,02/01,9.70,12/31,14.67
2003,16.50,07/21,9.40,03/11,12.58
2004,17.30,04/16,9.15,12/27,12.02
2005,12.95,12/30,6.72,05/25,8.65
2006,25.10,12/19,12.65,01/02,18.98
2007,74.50,07/26,23.70,01/04,43.26
2008,49.20,01/04,10.50,11/24,28.22
2009,32.50,10/15,11.80,01/21,23.05
2010,35.20,01/19,20.00,11/08,28.27
2011,28.95,03/04,12.40,12/09,23.27
2012,18.75,02/17,11.15,11/22,15.39
2013,29.90,12/26,12.60,01/17,21.24
2014,41.70,09/02,23.90,10/27,34.06
2015,35.90,03/23,19.50,08/25,30.70
2016,44.50,03/17,29.10,01/15,37.69
2017,80.00,11/03,34.90,01/16,53.25
