蔚華科,	3055
Year,最高價,日期,最低價,日期,收盤平均價
2002,40.70,12/17,26.00,12/26,32.31
2003,34.30,12/05,22.20,9/15,26.41
2004,47.50,4/13,26.10,8/04,36.15
2005,41.60,7/29,25.00,10/27,31.80
2006,36.40,1/09,25.20,9/15,29.91
2007,39.80,7/26,25.50,12/18,31.43
2008,29.30,1/02,9.50,11/18,20.34
2009,25.10,12/15,9.57,3/03,16.02
2010,32.25,4/08,21.05,1/27,25.56
2011,25.15,1/17,12.45,12/19,19.03
2012,15.70,2/15,10.10,6/04,12.33
2013,13.80,4/03,10.65,11/18,12.27
2014,26.80,9/03,11.30,1/02,18.27
2015,22.45,4/14,9.85,8/25,16.86
2016,22.60,2/24,16.30,1/18,18.28
2017,25.05,12/29,15.50,3/10,18.42
