新麗,	9944
Year,最高價,日期,最低價,日期,收盤平均價
2002,36.10,8/29,25.50,10/08,31.42
2003,30.90,4/30,24.50,10/16,27.02
2004,32.70,2/17,20.30,11/29,24.29
2005,21.40,1/05,14.45,5/25,16.82
2006,31.65,12/29,15.30,1/18,21.30
2007,47.40,8/13,27.70,3/06,36.03
2008,37.75,4/16,12.80,10/27,24.84
2009,28.30,11/16,13.25,1/09,18.93
2010,28.60,8/13,23.40,2/06,26.03
2011,27.50,1/05,21.30,12/08,23.65
2012,23.40,3/28,15.10,11/20,19.85
2013,29.85,10/07,16.40,1/02,21.25
2014,73.40,7/28,22.05,2/05,46.45
2015,47.20,1/27,24.30,12/29,35.78
2016,27.20,3/01,19.00,11/09,22.18
2017,24.40,2/13,17.65,8/16,20.02
