允強,	2034
Year,最高價,日期,最低價,日期,收盤平均價
2001,8.40,12/18,6.35,12/05,7.00
2002,17.70,6/13,6.00,1/23,12.01
2003,31.00,2/26,11.80,1/02,20.73
2004,52.00,3/10,22.80,1/02,35.27
2005,35.80,1/03,14.05,12/02,23.80
2006,44.20,12/27,15.70,1/03,29.42
2007,61.00,4/16,28.00,12/21,46.59
2008,39.50,3/04,9.30,10/28,24.20
2009,32.50,8/04,11.65,3/03,22.03
2010,30.80,4/16,19.80,6/07,23.84
2011,27.85,2/09,14.80,12/20,21.21
2012,20.20,2/20,14.80,7/27,16.76
2013,23.75,12/30,15.70,4/19,18.12
2014,32.10,8/04,21.40,2/06,26.31
2015,26.15,5/06,15.60,8/25,21.48
2016,30.00,12/16,17.50,1/18,23.48
2017,29.85,2/06,23.80,4/24,25.88
