通泰,	5487
Year,最高價,日期,最低價,日期,收盤平均價
2001,72.50,03/26,15.00,10/18,38.78
2002,52.00,01/24,16.70,10/09,29.85
2003,33.40,07/28,16.30,04/01,23.92
2004,26.30,02/09,15.50,10/26,19.72
2005,19.75,03/09,11.25,09/26,13.96
2006,21.50,12/04,11.00,03/24,14.74
2007,39.80,07/27,17.50,12/18,24.49
2008,24.70,04/23,8.50,12/05,16.24
2009,25.75,12/30,8.55,01/21,18.46
2010,25.70,04/30,16.70,11/12,21.60
2011,18.85,01/12,12.10,12/19,15.69
2012,20.00,12/26,12.80,07/18,15.14
2013,23.50,03/26,17.25,03/18,20.58
2014,35.30,06/30,21.10,01/02,27.46
2015,29.35,01/05,15.95,08/25,24.93
2016,27.45,03/17,19.65,01/20,24.26
2017,27.80,03/15,23.25,01/03,25.46
