楠梓電,	2316
Year,最高價,日期,最低價,日期,收盤平均價
2000,66.50,4/11,21.80,10/19,46.83
2001,45.90,2/16,9.55,10/05,23.13
2002,26.20,4/17,13.40,10/08,18.94
2003,23.40,11/14,10.20,5/22,15.24
2004,24.60,4/26,13.40,11/30,18.21
2005,15.90,2/21,7.75,10/28,12.21
2006,16.45,4/17,9.80,7/18,12.35
2007,17.20,1/23,7.22,12/21,13.04
2008,10.20,5/23,2.73,10/28,6.26
2009,12.50,12/25,3.51,2/02,7.73
2010,22.55,12/31,9.91,2/06,15.12
2011,22.75,1/14,9.68,12/20,17.54
2012,14.90,3/16,10.30,1/09,13.09
2013,13.95,10/22,11.40,8/28,12.39
2014,17.95,4/23,12.80,1/06,14.95
2015,31.80,6/03,13.75,1/07,23.04
2016,33.15,3/24,16.00,11/09,23.26
2017,23.00,9/25,16.70,5/18,18.74
2018,19.70,8/24,13.40,10/12,16.46
