育富,	6194
Year,最高價,日期,最低價,日期,收盤平均價
2002,38.80,12/10,31.00,12/31,33.72
2003,49.30,12/04,21.90,03/17,27.83
2004,64.00,02/06,29.30,07/20,45.06
2005,93.30,08/09,36.00,01/06,66.44
2006,87.80,01/05,58.80,08/21,66.46
2007,76.20,07/31,38.55,12/18,62.58
2008,51.20,05/22,18.65,10/27,36.40
2009,44.60,12/31,20.00,01/21,34.13
2010,44.25,01/04,25.50,11/25,36.91
2011,27.00,01/03,16.50,08/09,22.80
2012,25.20,02/14,18.95,11/05,22.45
2013,22.45,03/08,18.85,10/17,20.26
2014,22.30,04/23,17.65,08/08,19.50
2015,20.80,11/20,16.00,09/03,18.80
2016,22.00,03/15,15.40,12/30,17.95
2017,20.30,11/07,15.00,01/03,17.95
