保銳,	8093
Year,最高價,日期,最低價,日期,收盤平均價
2004,21.00,12/31,21.00,12/31,21.00
2005,27.50,03/21,15.00,10/27,19.26
2006,34.80,07/13,16.25,03/22,25.72
2007,49.20,04/03,20.00,12/18,37.00
2008,26.60,05/07,5.73,11/18,15.90
2009,19.25,10/20,5.77,01/13,14.43
2010,21.90,01/15,10.30,11/10,17.10
2011,13.45,02/23,6.56,08/11,10.62
2012,8.69,02/16,4.63,11/19,6.16
2013,7.35,12/27,5.00,01/02,5.99
2014,13.40,06/18,6.33,12/01,9.46
2015,7.53,01/05,4.60,08/24,6.49
2016,8.60,08/08,4.65,05/04,6.57
2017,8.30,10/11,5.35,01/06,6.72
