GIS-KY,	6456
Year,最高價,日期,最低價,日期,收盤平均價
2015,160.00,7/16,98.50,8/25,128.85
2016,128.50,3/17,74.10,5/16,89.67
2017,379.00,8/30,88.50,1/12,221.16
2018,227.50,6/07,86.50,11/13,162.60
