坤悅,	5206
Year,最高價,日期,最低價,日期,收盤平均價
2001,13.95,10/08,7.45,10/30,10.08
2002,14.15,07/10,4.04,12/31,9.17
2003,12.40,11/13,4.15,01/02,6.38
2004,16.30,03/04,3.24,09/23,7.09
2005,4.30,03/15,2.77,11/16,3.27
2006,6.06,04/20,2.37,08/29,4.29
2007,10.80,07/30,3.90,03/05,5.76
2008,5.64,01/04,1.59,10/27,3.53
2009,3.81,04/17,1.04,06/24,2.43
2010,2.85,01/20,1.14,10/29,1.89
2011,19.65,12/01,1.30,01/07,8.10
2012,21.90,05/22,13.00,12/05,16.25
2013,21.20,05/24,14.65,01/25,17.63
2014,16.05,03/26,12.60,12/08,14.14
2015,13.45,04/01,8.53,08/25,11.91
2016,11.75,03/25,7.85,12/14,9.13
2017,10.45,05/16,7.91,01/03,9.50
