潤泰全,	2915
Year,最高價,日期,最低價,日期,收盤平均價
2003,16.40,1/23,13.00,10/03,14.71
2004,15.20,12/31,11.35,10/06,12.76
2005,15.70,3/14,11.10,8/25,13.01
2006,23.95,12/06,10.35,3/22,14.88
2007,32.25,10/30,19.00,6/05,24.48
2008,34.20,4/24,12.45,11/07,24.32
2009,60.40,10/26,17.15,1/21,36.62
2010,108.50,8/09,46.15,2/06,81.47
2011,88.00,1/03,42.75,8/26,65.44
2012,75.90,10/18,43.30,6/04,58.99
2013,85.10,11/20,60.70,6/25,73.16
2014,79.80,7/17,60.20,10/17,70.75
2015,77.50,4/27,44.70,8/25,64.95
2016,62.20,1/04,42.00,5/09,51.45
2017,64.70,2/17,42.50,6/16,49.26
2018,91.00,12/03,46.40,2/09,62.65
