連宇,	2482
Year,最高價,日期,最低價,日期,收盤平均價
2001,44.00,12/31,11.90,9/19,23.71
2002,45.90,4/02,17.50,10/08,28.11
2003,32.30,7/10,17.80,3/11,22.76
2004,32.00,3/01,18.30,8/18,22.20
2005,24.50,3/11,15.60,10/26,20.09
2006,28.85,12/26,14.15,8/24,16.71
2007,82.40,7/26,23.30,1/05,52.74
2008,39.40,2/29,10.10,10/28,23.72
2009,34.25,10/06,11.60,3/03,19.88
2010,29.50,1/04,15.50,11/09,21.29
2011,18.60,1/03,9.64,12/19,13.60
2012,13.35,3/01,9.61,6/04,10.65
2013,17.85,12/04,10.25,1/11,12.81
2014,25.00,10/27,12.40,4/28,16.44
2015,21.55,3/19,10.10,8/27,16.02
2016,17.90,3/23,10.85,1/18,13.36
2017,15.70,4/06,12.00,12/19,13.16
2018,13.85,4/02,10.95,12/27,12.26
2019,16.55,9/18,10.40,7/29,11.60
