中工,	2515
Year,最高價,日期,最低價,日期,收盤平均價
2000,13.25,2/21,1.83,12/30,6.46
2001,5.70,2/21,1.81,1/02,2.84
2002,5.65,4/25,2.10,10/08,3.31
2003,7.15,1/28,2.53,5/02,4.51
2004,9.10,3/15,4.07,8/19,6.09
2005,6.95,1/07,3.93,10/28,4.89
2006,9.10,12/11,3.43,3/24,4.75
2007,13.45,7/26,6.24,5/03,8.16
2008,12.00,4/15,4.53,10/28,8.04
2009,10.10,8/17,5.59,3/03,8.20
2010,10.75,12/31,6.63,5/25,7.94
2011,11.85,1/05,6.89,9/26,9.12
2012,9.15,3/16,6.23,6/04,7.60
2013,9.55,2/23,7.87,4/16,8.57
2014,8.99,1/02,6.94,10/16,8.05
2015,9.17,8/10,6.72,12/15,7.73
2016,7.11,1/04,5.09,6/13,5.79
2017,8.58,11/30,5.97,5/18,6.67
2018,9.38,6/08,6.71,10/26,7.84
